# PLZ;Ort;Kanton
# Quelle: GeoNames Postal Codes (download.geonames.org/export/zip/CH.zip), Lizenz CC BY 4.0.
# Eine Zeile je PLZ; geladen von PlzVerzeichnis. Nicht von Hand editieren.
3323;Bäriswil BE;BE
3324;Hindelbank;BE
3325;Hettiswil b. Hindelbank;BE
3326;Krauchthal;BE
3360;Herzogenbuchsee;BE
3362;Niederönz;BE
3363;Oberönz;BE
3365;Grasswil;BE
3366;Bollodingen;BE
3367;Thörigen;BE
3368;Bleienbach;BE
3372;Wanzwil;BE
3373;Heimenhausen;BE
3374;Wangenried;BE
3375;Inkwil;BE
3376;Graben;BE
3377;Walliswil b. Wangen;BE
3380;Walliswil b. Niederbipp;BE
3400;Burgdorf;BE
3401;Burgdorf;BE
3412;Heimiswil;BE
3413;Kaltacker;BE
3414;Oberburg;BE
3415;Hasle-Rüegsau;BE
3416;Affoltern im Emmental;BE
3417;Rüegsau;BE
3418;Rüegsbach;BE
3419;Biembach im Emmental;BE
3421;Rüti b. Lyssach;BE
3422;Rüdtligen;BE
3423;Ersigen;BE
3424;Niederösch;BE
3425;Koppigen;BE
3426;Aefligen;BE
3427;Utzenstorf;BE
3428;Wiler b. Utzenstorf;BE
3429;Hellsau;BE
3432;Lützelflüh-Goldbach;BE
3433;Schwanden im Emmental;BE
3434;Obergoldbach;BE
3435;Ramsei;BE
3436;Zollbrück;BE
3437;Rüderswil;BE
3438;Lauperswil;BE
3439;Ranflüh;BE
3452;Grünenmatt;BE
3453;Heimisbach;BE
3454;Sumiswald;BE
3455;Grünen;BE
3456;Trachselwald;BE
3457;Wasen im Emmental;BE
3462;Weier im Emmental;BE
3463;Häusernmoos im Emmental;BE
3464;Schmidigen-Mühleweg;BE
3465;Dürrenroth;BE
3472;Rumendingen;BE
3473;Alchenstorf;BE
3474;Rüedisbach;BE
3475;Hermiswil;BE
3476;Oschwand;BE
3503;Gysenstein;BE
3504;Oberhünigen;BE
3506;Grosshöchstetten;BE
3507;Biglen;BE
3508;Arni BE;BE
3510;Häutligen;BE
3512;Walkringen;BE
3513;Bigenthal;BE
3531;Oberthal;BE
3532;Mirchel;BE
3533;Bowil;BE
3534;Signau;BE
3535;Schüpbach;BE
3536;Aeschau;BE
3537;Eggiwil;BE
3538;Röthenbach im Emmental;BE
3543;Emmenmatt;BE
3550;Langnau im Emmental;BE
3551;Oberfrittenbach;BE
3552;Bärau;BE
3553;Gohl;BE
3555;Trubschachen;BE
3556;Trub;BE
3557;Fankhaus (Trub);BE
3600;Thun;BE
3602;Thun;BE
3603;Thun;BE
3604;Thun;BE
3607;Thun;BE
3608;Thun;BE
3609;Thun;BE
3612;Steffisburg;BE
3613;Steffisburg;BE
3614;Unterlangenegg;BE
3615;Heimenschwand;BE
3616;Schwarzenegg;BE
3617;Fahrni b. Thun;BE
3618;Süderen;BE
3619;Eriz;BE
3622;Homberg b. Thun;BE
3623;Buchen BE;BE
3624;Schwendibach;BE
3625;Heiligenschwendi;BE
3626;Hünibach;BE
3627;Heimberg;BE
3628;Uttigen;BE
3629;Jaberg;BE
3631;Höfen b. Thun;BE
3632;Niederstocken;BE
3633;Amsoldingen;BE
3634;Thierachern;BE
3635;Uebeschi;BE
3636;Längenbühl;BE
3638;Pohlern;BE
3645;Zwieselberg;BE
3646;Einigen;BE
3647;Reutigen;BE
3652;Hilterfingen;BE
3653;Oberhofen am Thunersee;BE
3654;Gunten;BE
3655;Sigriswil;BE
3656;Tschingel ob Gunten;BE
3657;Schwanden (Sigriswil);BE
3658;Merligen;BE
3661;Uetendorf;BE
3662;Seftigen;BE
3663;Gurzelen;BE
3664;Burgistein;BE
3665;Wattenwil;BE
3671;Herbligen;BE
3672;Oberdiessbach;BE
3673;Linden;BE
3674;Bleiken b. Oberdiessbach;BE
3700;Spiez;BE
3702;Hondrich;BE
3703;Aeschi b. Spiez;BE
3704;Krattigen;BE
3705;Faulensee;BE
3706;Leissigen;BE
3707;Därligen;BE
3711;Mülenen;BE
3713;Reichenbach im Kandertal;BE
3714;Frutigen;BE
3715;Adelboden;BE
3716;Kandergrund;BE
3717;Blausee-Mitholz;BE
3718;Kandersteg;BE
3722;Scharnachtal;BE
3723;Kiental;BE
3724;Ried (Frutigen);BE
3725;Achseten;BE
3752;Wimmis;BE
3753;Oey;BE
3754;Diemtigen;BE
3755;Horboden;BE
3756;Zwischenflüh;BE
3757;Schwenden im Diemtigtal;BE
3758;Latterbach;BE
3762;Erlenbach im Simmental;BE
3763;Därstetten;BE
3764;Weissenburg;BE
3765;Oberwil im Simmental;BE
3766;Boltigen;BE
3770;Zweisimmen;BE
3771;Blankenburg;BE
3772;St. Stephan;BE
3773;Matten (St. Stephan);BE
3775;Lenk im Simmental;BE
3776;Oeschseite;BE
3777;Saanenmöser;BE
3778;Schönried;BE
3780;Gstaad;BE
3781;Turbach;BE
3782;Lauenen b. Gstaad;BE
3783;Grund b. Gstaad;BE
3784;Feutersoey;BE
3785;Gsteig b. Gstaad;BE
3792;Saanen;BE
3800;Unterseen;BE
3801;Jungfraujoch;VS
3802;Interlaken Ost;BE
3803;Beatenberg;BE
3804;Habkern;BE
3805;Goldswil b. Interlaken;BE
3806;Bönigen b. Interlaken;BE
3807;Iseltwald;BE
3812;Wilderswil;BE
3813;Saxeten;BE
3814;Gsteigwiler;BE
3815;Gündlischwand;BE
3816;Lütschental;BE
3818;Grindelwald;BE
3822;Lauterbrunnen;BE
3823;Kleine Scheidegg;BE
3824;Stechelberg;BE
3825;Mürren;BE
3826;Gimmelwald;BE
3852;Ringgenberg BE;BE
3853;Niederried b. Interlaken;BE
3854;Oberried am Brienzersee;BE
3855;Axalp;BE
3856;Brienzwiler;BE
3857;Unterbach BE;BE
3858;Hofstetten b. Brienz;BE
3860;Schattenhalb;BE
3862;Innertkirchen;BE
3863;Gadmen;BE
3864;Guttannen;BE
3900;Gamsen;VS
3901;Rothwald;VS
3902;Glis;VS
3903;Mund;VS
3904;Naters;VS
3905;Saas-Almagell;VS
3906;Saas-Fee;VS
3907;Gondo;VS
3908;Saas-Balen;VS
3910;Saas-Grund;VS
3911;Ried-Brig;VS
3912;Termen;VS
3913;Rosswald;VS
3914;Blatten b. Naters;VS
3916;Ferden;VS
3917;Kippel;VS
3918;Wiler (Lötschen);VS
3919;Blatten (Lötschen);VS
3920;Zermatt;VS
3922;Kalpetran;VS
3923;Törbel;VS
3924;St. Niklaus VS;VS
3925;Grächen;VS
3926;Embd;VS
3927;Herbriggen;VS
3928;Randa;VS
3929;Täsch;VS
3930;Eyholz;VS
3931;Lalden;VS
3932;Visperterminen;VS
3933;Staldenried;VS
3934;Zeneggen;VS
3935;Bürchen;VS
3937;Baltschieder;VS
3938;Ausserberg;VS
3939;Eggerberg;VS
3940;Steg VS;VS
3942;St. German;VS
3943;Eischoll;VS
3944;Unterbäch VS;VS
3945;Niedergampel;VS
3946;Turtmann;VS
3947;Ergisch;VS
3948;Unterems;VS
3949;Hohtenn;VS
3951;Agarn;VS
3952;Susten;VS
3953;Leuk Stadt;VS
3954;Leukerbad;VS
3955;Albinen;VS
3956;Guttet-Feschel;VS
3957;Erschmatt;VS
3960;Niouc;VS
3961;St-Luc;VS
3963;Crans-Montana;VS
3965;Chippis;VS
3966;Chalais;VS
3967;Vercorin;VS
3968;Veyras;VS
3970;Salgesch;VS
3971;Chermignon-d'en-Bas;VS
3972;Miège;VS
3973;Venthône;VS
3974;Mollens VS;VS
3975;Randogne;VS
3976;Champzabé;VS
3977;Granges VS;VS
3978;Flanthey;VS
3979;Grône;VS
3982;Bitsch;VS
3983;Bister;VS
3984;Fiesch;VS
3985;Münster VS;VS
3986;Ried-Mörel;VS
3987;Riederalp;VS
3988;Ulrichen;VS
3989;Niederwald;VS
3991;Betten;VS
3992;Bettmeralp;VS
3993;Grengiols;VS
3994;Lax;VS
3995;Ausserbinn;VS
3996;Binn;VS
3997;Bellwald;VS
3998;Gluringen;VS
3999;Oberwald;VS
4000;Basel;BS
4001;Basel;BS
4002;Basel;BS
4005;Basel;BS
4009;Basel;BS
4010;Basel;BS
4018;Basel;BS
4019;Basel;BS
4020;Basel;BS
4030;Basel;BS
4031;Basel;BS
4039;Basel;BS
4040;Basel;BL
4041;Basel;BS
4042;Basel PF OC;BL
4051;Basel;BS
4052;Basel;BS
4053;Basel;BS
4054;Basel;BS
4055;Basel;BS
4056;Basel;BS
4057;Basel;BS
4058;Basel;BS
4059;Basel;BS
4070;Basel;BS
4075;Basel;BS
4089;Basel SPI GLS;BS
4091;Basel;BS
4101;Bruderholz;BL
4102;Binningen;BL
4103;Bottmingen;BL
4104;Oberwil BL;BL
4105;Biel-Benken BL;BL
4106;Therwil;BL
4107;Ettingen;BL
4108;Witterswil;SO
4112;Bättwil-Flüh;SO
4114;Hofstetten SO;SO
4115;Mariastein;SO
4116;Metzerlen;SO
4117;Burg im Leimental;BL
4118;Rodersdorf;SO
4123;Allschwil;BL
4124;Schönenbuch;BL
4125;Riehen;BS
4126;Bettingen;BS
4127;Birsfelden;BL
4132;Muttenz;BL
4133;Pratteln;BL
4142;Münchenstein;BL
4143;Dornach;SO
4144;Arlesheim;BL
4145;Gempen;SO
4146;Hochwald;SO
4147;Aesch BL;BL
4148;Pfeffingen;BL
4153;Reinach BL;BL
4202;Duggingen;BL
4203;Grellingen;BL
4204;Himmelried;SO
4206;Seewen SO;SO
4207;Bretzwil;BL
4208;Nunningen;SO
4222;Zwingen;BL
4223;Blauen;BL
4224;Nenzlingen;BL
4225;Brislach;BL
4226;Breitenbach;SO
4227;Büsserach;SO
4228;Erschwil;SO
4229;Beinwil SO;SO
4232;Fehren;SO
4233;Meltingen;SO
4234;Zullwil;SO
4242;Laufen;BL
4243;Dittingen;BL
4244;Röschenz;BL
4245;Kleinlützel;SO
4246;Wahlen b. Laufen;BL
4247;Grindel;SO
4252;Bärschwil;SO
4253;Liesberg;BL
4254;Liesberg Dorf;BL
4302;Augst BL;BL
4303;Kaiseraugst;AG
4304;Giebenach;BL
4305;Olsberg;AG
4310;Rheinfelden;AG
4312;Magden;AG
4313;Möhlin;AG
4314;Zeiningen;AG
4315;Zuzgen;AG
4316;Hellikon;AG
4317;Wegenstetten;AG
4322;Mumpf;AG
4323;Wallbach;AG
4324;Obermumpf;AG
4325;Schupfart;AG
4332;Stein AG;AG
4333;Münchwilen AG;AG
4334;Sisseln AG;AG
4402;Frenkendorf;BL
4410;Liestal;BL
4411;Seltisberg;BL
4412;Nuglar;SO
4413;Büren SO;SO
4414;Füllinsdorf;BL
4415;Lausen;BL
4416;Bubendorf;BL
4417;Ziefen;BL
4418;Reigoldswil;BL
4419;Lupsingen;BL
4421;St. Pantaleon;SO
4422;Arisdorf;BL
4423;Hersberg;BL
4424;Arboldswil;BL
4425;Titterten;BL
4426;Lauwil;BL
4431;Bennwil;BL
4432;Lampenberg;BL
4433;Ramlinsburg;BL
4434;Hölstein;BL
4435;Niederdorf;BL
4436;Oberdorf BL;BL
4437;Waldenburg;BL
4438;Langenbruck;BL
4441;Thürnen;BL
4442;Diepflingen;BL
4443;Wittinsburg;BL
4444;Rümlingen;BL
4445;Häfelfingen;BL
4446;Buckten;BL
4447;Känerkinden;BL
4448;Läufelfingen;BL
4450;Sissach;BL
4451;Wintersingen;BL
4452;Itingen;BL
4453;Nusshof;BL
4455;Zunzgen;BL
4456;Tenniken;BL
4457;Diegten;BL
4458;Eptingen;BL
4460;Gelterkinden;BL
4461;Böckten;BL
4462;Rickenbach BL;BL
4463;Buus;BL
4464;Maisprach;BL
4465;Hemmiken;BL
4466;Ormalingen;BL
4467;Rothenfluh;BL
4468;Kienberg;SO
4469;Anwil;BL
4492;Tecknau;BL
4493;Wenslingen;BL
4494;Oltingen;BL
4495;Zeglingen;BL
4496;Kilchberg BL;BL
4497;Rünenberg;BL
4500;Solothurn;SO
4501;Solothurn;SO
4502;Solothurn;SO
4503;Solothurn;SO
4509;Solothurn;SO
4512;Bellach;SO
4513;Langendorf;SO
4514;Lommiswil;SO
4515;Oberdorf SO;SO
4522;Rüttenen;SO
4523;Niederwil SO;SO
4524;Balmberg;SO
4525;Balm b. Günsberg;SO
4528;Zuchwil;SO
4532;Feldbrunnen;SO
4533;Riedholz;SO
4534;Flumenthal;SO
4535;Kammersrohr;SO
4536;Attiswil;BE
4537;Wiedlisbach;BE
4538;Oberbipp;BE
4539;Farnern;BE
4542;Luterbach;SO
4543;Deitingen;SO
4552;Derendingen;SO
4553;Subingen;SO
4554;Etziken;SO
4556;Steinhof SO;SO
4557;Horriwil;SO
4558;Winistorf;SO
4562;Biberist;SO
4563;Gerlafingen;SO
4564;Zielebach;BE
4565;Recherswil;SO
4566;Oekingen;SO
4571;Ichertswil;SO
4573;Lohn-Ammannsegg;SO
4574;Lüsslingen;SO
4576;Tscheppach;SO
4577;Hessigkofen;SO
4578;Bibern SO;SO
4579;Gossliwil;SO
4581;Küttigkofen;SO
4582;Brügglen;SO
4583;Aetigkofen;SO
4584;Gächliwil;SO
4585;Biezwil;SO
4586;Kyburg-Buchegg;SO
4587;Aetingen;SO
4588;Oberramsern;SO
4600;Olten;SO
4601;Olten 1 Fächer;SO
4605;Olten;SO
4609;Olten;SO
4612;Wangen b. Olten;SO
4613;Rickenbach SO;SO
4614;Hägendorf;SO
4615;Allerheiligenberg;SO
4616;Kappel SO;SO
4617;Gunzgen;SO
4618;Boningen;SO
4622;Egerkingen;SO
4623;Neuendorf;SO
4624;Härkingen;SO
4625;Oberbuchsiten;SO
4626;Niederbuchsiten;SO
4628;Wolfwil;SO
4629;Fulenbach;SO
4632;Trimbach;SO
4633;Hauenstein;SO
4634;Wisen SO;SO
4652;Winznau;SO
4653;Obergösgen;SO
4654;Lostorf;SO
4655;Stüsslingen;SO
4656;Starrkirch-Wil;SO
4657;Dulliken;SO
4658;Däniken SO;SO
4663;Aarburg;AG
4665;Oftringen;AG
4702;Oensingen;SO
4703;Kestenholz;SO
4704;Wolfisberg;BE
4710;Balsthal;SO
4712;Laupersdorf;SO
4713;Matzendorf;SO
4714;Aedermannsdorf;SO
4715;Herbetswil;SO
4716;Gänsbrunnen;SO
4717;Mümliswil;SO
4718;Holderbank SO;SO
4719;Ramiswil;SO
4800;Zofingen;AG
4801;Zofingen;AG
4802;Strengelbach;AG
4803;Vordemwald;AG
4805;Brittnau;AG
4806;Wikon;LU
4807;Zofingen PostFinance;AG
4808;Zofingen PostFinance;AG
4809;Zofingen PF UBS Verarb.;AG
4810;Zofingen PF;AG
4812;Mühlethal;AG
4813;Uerkheim;AG
4814;Bottenwil;AG
4852;Rothrist;AG
4853;Riken AG;AG
4856;Glashütten;AG
4900;Langenthal;BE
4901;Langenthal;BE
4911;Schwarzhäusern;BE
4912;Aarwangen;BE
4913;Bannwil;BE
4914;Roggwil BE;BE
4915;St. Urban;LU
4916;Untersteckholz;BE
4917;Melchnau;BE
4919;Reisiswil;BE
4922;Bützberg;BE
4923;Wynau;BE
4924;Obersteckholz;BE
4932;Lotzwil;BE
4933;Rütschelen;BE
4934;Madiswil;BE
4935;Leimiswil;BE
4936;Kleindietwil;BE
4937;Ursenbach;BE
4938;Rohrbachgraben;BE
4942;Walterswil BE;BE
4943;Oeschenbach;BE
4944;Auswil;BE
4950;Huttwil;BE
4952;Eriswil;BE
4953;Schwarzenbach (Huttwil);BE
4954;Wyssachen;BE
4955;Gondiswil;BE
5000;Aarau;AG
5001;Aarau 1;AG
5004;Aarau;AG
5012;Schönenwerd;SO
5013;Niedergösgen;SO
5014;Gretzenbach;SO
5015;Erlinsbach SO;SO
5017;Barmelweid;AG
5018;Erlinsbach;AG
5022;Rombach;AG
5023;Biberstein;AG
5024;Küttigen;AG
5025;Asp;AG
5026;Densbüren;AG
5027;Herznach;AG
5028;Ueken;AG
5032;Aarau Rohr;AG
5033;Buchs AG;AG
5034;Suhr;AG
5035;Unterentfelden;AG
5036;Oberentfelden;AG
5037;Muhen;AG
5040;Schöftland;AG
5042;Hirschthal;AG
5043;Holziken;AG
5044;Schlossrued;AG
5046;Schmiedrued-Walde;AG
5053;Wittwil;AG
5054;Moosleerau;AG
5056;Attelwil;AG
5057;Reitnau;AG
5058;Wiliberg;AG
5062;Oberhof;AG
5063;Wölflinswil;AG
5064;Wittnau;AG
5070;Frick;AG
5072;Oeschgen;AG
5073;Gipf-Oberfrick;AG
5074;Eiken;AG
5075;Hornussen;AG
5076;Bözen;AG
5077;Elfingen;AG
5078;Effingen;AG
5079;Zeihen;AG
5080;Laufenburg;AG
5082;Kaisten;AG
5083;Ittenthal;AG
5084;Rheinsulz;AG
5085;Sulz AG;AG
5102;Rupperswil;AG
5103;Wildegg;AG
5105;Auenstein;AG
5106;Veltheim AG;AG
5107;Schinznach Dorf;AG
5108;Oberflachs;AG
5112;Thalheim AG;AG
5113;Holderbank AG;AG
5116;Schinznach Bad;AG
5200;Brugg AG;AG
5201;Brugg AG;AG
5210;Windisch;AG
5212;Hausen AG;AG
5213;Villnachern;AG
5222;Umiken;AG
5223;Riniken;AG
5225;Bözberg;AG
5232;Villigen PSI;AG
5233;Stilli;AG
5234;Villigen;AG
5235;Rüfenach AG;AG
5236;Remigen;AG
5237;Mönthal;AG
5242;Lupfig;AG
5243;Mülligen;AG
5244;Birrhard;AG
5245;Habsburg;AG
5246;Scherz;AG
5272;Gansingen;AG
5273;Oberhofen AG;AG
5274;Mettau;AG
5275;Etzgen;AG
5276;Wil AG;AG
5277;Hottwil;AG
5300;Turgi;AG
5301;Siggenthal Station;AG
5303;Würenlingen;AG
5304;Endingen;AG
5305;Unterendingen;AG
5306;Tegerfelden;AG
5312;Döttingen;AG
5313;Klingnau;AG
5314;Kleindöttingen;AG
5315;Böttstein;AG
5316;Leuggern;AG
5317;Hettenschwil;AG
5318;Mandach;AG
5322;Koblenz;AG
5323;Rietheim;AG
5324;Full-Reuenthal;AG
5325;Leibstadt;AG
5326;Schwaderloch;AG
5330;Bad Zurzach;AG
5332;Rekingen AG;AG
5333;Baldingen;AG
5334;Böbikon;AG
5400;Baden;AG
5401;Baden;AG
5402;Baden;AG
5404;Baden;AG
5405;Baden;AG
5406;Rütihof;AG
5408;Ennetbaden;AG
5412;Vogelsang AG;AG
5413;Birmenstorf AG;AG
5415;Rieden AG;AG
5416;Kirchdorf AG;AG
5417;Untersiggenthal;AG
5420;Ehrendingen;AG
5423;Freienwil;AG
5425;Schneisingen;AG
5426;Lengnau AG;AG
5430;Wettingen;AG
5432;Neuenhof;AG
5436;Würenlos;AG
5442;Fislisbach;AG
5443;Niederrohrdorf;AG
5444;Künten;AG
5445;Eggenwil;AG
5452;Oberrohrdorf;AG
5453;Remetschwil;AG
5454;Bellikon;AG
5462;Siglistorf;AG
5463;Wislikofen;AG
5464;Rümikon AG;AG
5465;Mellikon;AG
5466;Kaiserstuhl AG;AG
5467;Fisibach;AG
5502;Hunzenschwil;AG
5503;Schafisheim;AG
5504;Othmarsingen;AG
5505;Brunegg;AG
5506;Mägenwil;AG
5507;Mellingen;AG
5512;Wohlenschwil;AG
5522;Tägerig;AG
5524;Niederwil AG;AG
5525;Fischbach-Göslikon;AG
5600;Ammerswil AG;AG
5603;Staufen;AG
5604;Hendschiken;AG
5605;Dottikon;AG
5606;Dintikon;AG
5607;Hägglingen;AG
5608;Stetten AG;AG
5610;Wohlen AG;AG
5611;Anglikon;AG
5612;Villmergen;AG
5613;Hilfikon;AG
5614;Sarmenstorf;AG
5615;Fahrwangen;AG
5616;Meisterschwanden;AG
5617;Tennwil;AG
5618;Bettwil;AG
5619;Büttikon AG;AG
5620;Bremgarten AG;AG
5621;Zufikon;AG
5622;Waltenschwil;AG
5623;Boswil;AG
5624;Waldhäusern AG;AG
5625;Kallern;AG
5626;Hermetschwil-Staffeln;AG
5627;Besenbüren;AG
5628;Aristau;AG
5630;Muri AG;AG
5632;Buttwil;AG
5634;Merenschwand;AG
5636;Benzenschwil;AG
5637;Geltwil;AG
5642;Mühlau;AG
5643;Meienberg;AG
5644;Auw;AG
5645;Aettenschwil;AG
5646;Abtwil AG;AG
5647;Oberrüti;AG
5702;Niederlenz;AG
5703;Seon;AG
5704;Egliswil;AG
5705;Hallwil;AG
5706;Boniswil;AG
5707;Seengen;AG
5708;Birrwil;AG
5712;Beinwil am See;AG
5722;Gränichen;AG
5723;Teufenthal AG;AG
5724;Dürrenäsch;AG
5725;Leutwil;AG
5726;Unterkulm;AG
5727;Oberkulm;AG
5728;Gontenschwil;AG
5732;Zetzwil;AG
5733;Leimbach AG;AG
5734;Reinach AG;AG
5735;Pfeffikon LU;LU
5736;Burg AG;AG
5737;Menziken;AG
5742;Kölliken;AG
5745;Safenwil;AG
5746;Walterswil SO;SO
6000;Luzern;LU
6002;Luzern;LU
6003;Luzern;LU
6004;Luzern;LU
6005;Luzern;LU
6006;Luzern;LU
6007;Luzern;LU
6009;Luzern;LU
6010;Kriens;LU
6011;Kriens;LU
6012;Obernau;LU
6013;Eigenthal;LU
6014;Luzern;LU
6015;Luzern;LU
6016;Hellbühl;LU
6017;Ruswil;LU
6018;Buttisholz;LU
6019;Sigigen;LU
6020;Emmenbrücke;LU
6021;Emmenbrücke 1;LU
6022;Grosswangen;LU
6023;Rothenburg;LU
6024;Hildisrieden;LU
6025;Neudorf;LU
6026;Rain;LU
6027;Römerswil LU;LU
6028;Herlisberg;LU
6030;Ebikon;LU
6031;Ebikon;LU
6032;Emmen;LU
6033;Buchrain;LU
6034;Inwil;LU
6035;Perlen;LU
6036;Dierikon;LU
6037;Root;LU
6038;Honau;LU
6039;Root D4;LU
6042;Dietwil;AG
6043;Adligenswil;LU
6044;Udligenswil;LU
6045;Meggen;LU
6047;Kastanienbaum;LU
6048;Horw;LU
6052;Hergiswil NW;NW
6053;Alpnachstad;OW
6055;Alpnach Dorf;OW
6056;Kägiswil;OW
6060;Sarnen;OW
6061;Sarnen 1;OW
6062;Wilen (Sarnen);OW
6063;Stalden (Sarnen);OW
6064;Kerns;OW
6066;St. Niklausen OW;OW
6067;Melchtal;OW
6068;Melchsee-Frutt;OW
6072;Sachseln;OW
6073;Flüeli-Ranft;OW
6074;Giswil;OW
6078;Lungern;OW
6083;Hasliberg Hohfluh;BE
6084;Hasliberg Wasserwendi;BE
6085;Hasliberg Goldern;BE
6086;Hasliberg Reuti;BE
6102;Malters;LU
6103;Schwarzenberg LU;LU
6105;Schachen LU;LU
6106;Werthenstein;LU
6110;Fontannen b. Wolhusen;LU
6112;Doppleschwand;LU
6113;Romoos;LU
6114;Steinhuserberg;LU
6122;Menznau;LU
6123;Geiss;LU
6125;Menzberg;LU
6126;Daiwil;LU
6130;Willisau;LU
6132;Rohrmatt;LU
6133;Hergiswil b. Willisau;LU
6142;Gettnau;LU
6143;Ohmstal;LU
6144;Zell LU;LU
6145;Fischbach LU;LU
6146;Grossdietwil;LU
6147;Altbüron;LU
6152;Hüswil;LU
6153;Ufhusen;LU
6154;Hofstatt;LU
6156;Luthern;LU
6160;Entlebuch Businesszentrum;LU
6162;Rengg;LU
6163;Ebnet;LU
6166;Hasle LU;LU
6167;Bramboden;LU
6170;Schüpfheim;LU
6173;Flühli LU;LU
6174;Sörenberg;LU
6182;Escholzmatt;LU
6192;Wiggen;LU
6196;Marbach LU;LU
6197;Schangnau;BE
6203;Sempach Station;LU
6204;Sempach;LU
6205;Eich;LU
6206;Neuenkirch;LU
6207;Nottwil Paraplegikerzentrum;LU
6208;Oberkirch LU;LU
6210;Sursee;LU
6211;Buchs LU;LU
6212;St. Erhard;LU
6213;Knutwil;LU
6214;Schenkon;LU
6215;Beromünster;LU
6216;Mauensee;LU
6217;Kottwil;LU
6218;Ettiswil;LU
6221;Rickenbach LU;LU
6222;Gunzwil;LU
6231;Schlierbach;LU
6232;Geuensee;LU
6233;Büron;LU
6234;Kulmerau;LU
6235;Winikon;LU
6236;Wilihof;LU
6242;Wauwil;LU
6243;Egolzwil;LU
6244;Nebikon;LU
6245;Ebersecken;LU
6246;Altishofen;LU
6247;Schötz;LU
6248;Alberswil;LU
6252;Dagmersellen;LU
6253;Uffikon;LU
6260;Reidermoos;LU
6262;Langnau b. Reiden;LU
6263;Richenthal;LU
6264;Pfaffnau;LU
6265;Roggliswil;LU
6274;Eschenbach LU;LU
6275;Ballwil;LU
6276;Hohenrain;LU
6277;Kleinwangen;LU
6280;Urswil;LU
6281;Hochdorf;LU
6283;Baldegg;LU
6284;Gelfingen;LU
6285;Retschwil;LU
6286;Altwis;LU
6287;Aesch LU;LU
6288;Schongau;LU
6289;Müswangen;LU
6294;Ermensee;LU
6295;Mosen;LU
6300;Zugerberg;ZG
6301;Zug;ZG
6302;Zug;ZG
6303;Zug;ZG
6312;Steinhausen;ZG
6313;Edlibach;ZG
6314;Neuägeri;ZG
6315;Oberägeri;ZG
6317;Oberwil b. Zug;ZG
6318;Walchwil;ZG
6319;Allenwinden;ZG
6330;Cham;ZG
6331;Hünenberg;ZG
6332;Hagendorn;ZG
6333;Hünenberg See;ZG
6340;Baar;ZG
6341;Baar;ZG
6343;Holzhäusern ZG;ZG
6344;Meierskappel;LU
6345;Neuheim;ZG
6353;Weggis;LU
6354;Vitznau;LU
6356;Rigi Kaltbad;LU
6362;Stansstad;NW
6363;Obbürgen;NW
6365;Kehrsiten;NW
6370;Stans;NW
6371;Stans;NW
6372;Ennetmoos;NW
6373;Ennetbürgen;NW
6374;Buochs;NW
6375;Beckenried;NW
6376;Emmetten;NW
6377;Seelisberg;UR
6382;Büren NW;NW
6383;Dallenwil;NW
6386;Wolfenschiessen;NW
6387;Oberrickenbach;NW
6388;Grafenort;OW
6390;Engelberg;OW
6391;Engelberg;OW
6402;Merlischachen;SZ
6403;Küssnacht am Rigi;SZ
6404;Greppen;LU
6405;Immensee;SZ
6410;Rigi Scheidegg;SZ
6414;Oberarth;SZ
6415;Arth;SZ
6416;Steinerberg;SZ
6417;Sattel;SZ
6418;Rothenthurm;SZ
6422;Steinen;SZ
6423;Seewen SZ;SZ
6424;Lauerz;SZ
6430;Schwyz;SZ
6431;Schwyz;SZ
6432;Rickenbach b. Schwyz;SZ
6433;Stoos SZ;SZ
6434;Illgau;SZ
6436;Bisisthal;SZ
6438;Ibach;SZ
6440;Brunnen;SZ
6441;Rütli;UR
6442;Gersau;SZ
6443;Morschach;SZ
6452;Riemenstalden;SZ
6454;Flüelen;UR
6460;Altdorf UR;UR
6461;Isenthal;UR
6462;Seedorf UR;UR
6463;Bürglen UR;UR
6464;Spiringen;UR
6465;Unterschächen;UR
6466;Bauen;UR
6467;Schattdorf;UR
6468;Attinghausen;UR
6469;Haldi b. Schattdorf;UR
6472;Erstfeld;UR
6473;Silenen;UR
6474;Amsteg;UR
6475;Bristen;UR
6476;Intschi;UR
6482;Gurtnellen;UR
6484;Wassen UR;UR
6485;Meien;UR
6487;Göschenen;UR
6490;Andermatt;UR
6491;Realp;UR
6493;Hospental;UR
6500;Bellinzona VZ;TI
6501;Bellinzona;TI
6503;Bellinzona;TI
6512;Giubiasco;TI
6513;Monte Carasso;TI
6514;Sementina;TI
6515;Gudo;TI
6516;Cugnasco;TI
6517;Arbedo;TI
6518;Gorduno;TI
6523;Preonzo;TI
6524;Moleno;TI
6525;Gnosca;TI
6526;Prosito;TI
6527;Lodrino;TI
6528;Camorino;TI
6532;Castione;TI
6533;Lumino;TI
6534;S. Vittore;GR
6535;Roveredo GR;GR
6537;Grono;GR
6538;Verdabbio;GR
6540;Castaneda;GR
6541;Sta. Maria in Calanca;GR
6542;Buseno;GR
6543;Arvigo;GR
6544;Braggio;GR
6545;Selma;GR
6546;Cauco;GR
6548;Rossa;GR
6549;Laura;GR
6556;Leggia;GR
6557;Cama;GR
6558;Lostallo;GR
6562;Soazza;GR
6563;Mesocco;GR
6565;S. Bernardino;GR
